,sentence
1206,"Sebelumnya, ekonom senior Indef, Dradjad Wibowo, menekankan bahwa untuk mencapai target pertumbuhan ekonomi 8%, diperlukan stimulus Keynesian, yaitu kebijakan stimulus dan belanja pemerintah."
1207,Hal ini bertujuan untuk menjaga daya beli masyarakat dan menggerakkan permintaan.
1208,"Selain itu, Dradjad juga menekankan bahwa yang lebih krusial adalah pemangkasan birokrasi dan deregulasi untuk menciptakan ruang bagi sektor swasta untuk berkembang."
1209,"""Jika kita hanya mengandalkan negara, kita tidak akan bisa mencapai target tersebut karena kapasitas pemerintah terbatas."
1210,"Pemerintah harus sedikit hands off dan memberi ruang lebih besar untuk sektor swasta,"" ujarnya."
1211,"Meskipun sudah ada berbagai upaya dalam 10 tahun terakhir untuk menyederhanakan birokrasi, Dradjad menilai bahwa masalah birokrasi yang rumit masih menjadi hambatan besar."
1212,Ia mengungkapkan bahwa masalah tersebut sempat dikeluhkan oleh Presiden ke-7 Republik Indonesia (RI) Joko Widodo (Jokowi) menjelang akhir masa jabatannya pada Oktober 2024.
1213,"Menurut Dradjad, untuk memperbaiki keadaan, reformasi birokrasi harus disertai dengan pembangunan dan penguatan sistem yang melibatkan pihak-pihak kredibel yang dapat menerapkannya dengan baik."
1214,"Sebagai langkah konkret, Dradjad mengusulkan agar setiap kementerian dan lembaga (K/L) diberi key performance indicator (KPI) yang mengukur kemudahan berusaha (ease of doing business)."
1215,Nenek di Barito Utara Edarkan Narkotika karena Terdesak Kebutuhan Ekonomi
1216,"Seorang nenek berusia 58 tahun berinisial L di Kabupaten Barito Utara, Provinsi Kalimantan Tengah (Kalteng), nekat mengedarkan barang haram narkotika golongan satu atau obat-obatan terlarang jenis karisoprodol."
1217,Polres Barito Utara menangkap L pada Rabu (30/10/2024).
1218,"Kepala Seksi Humas Polres Barito Utara, Kompol Sugiya menjelaskan, pihaknya mengamankan pelaku yang seorang ibu rumah tangga tersebut di kediamannya di Kelurahan Melayu, Kecamatan Teweh Tengah, Kabupaten Barito Utara."
1219,"“Penangkapan dilakukan setelah Satresnarkoba Polres Barito Utara menerima informasi dari masyarakat bahwa rumah tersangka sering dijadikan lokasi transaksi narkoba,” beber Sugiya saat dikonfirmasi dari Palangka Raya, Minggu (10/11/2024) malam."
1220,"Berdasarkan laporan ini, ujar Sugiya, petugas melakukan penyelidikan di sekitar lokasi dan mengamati aktivitas di rumah tersebut."
1221,"Setelah memastikan keberadaan tersangka, petugas melakukan penggerebekan dan penangkapan di tempat."
1222,"“Dalam penggeledahan yang juga saksikan warga, petugas menemukan dua kantong kresek hitam yang berisi 12 plastik klip kecil."
1223,"Total terdapat 468 butir tablet tanpa merek berwarna putih dengan motif garis yang diduga mengandung zat narkotika jenis karisoprodol, yang termasuk Narkotika Golongan I,” jelas dia."
1224,"Selain itu, petugas juga menyita beberapa barang bukti lain seperti empat bungkus plastik klip besar kosong, satu kotak dus air mineral, dan sebuah telepon genggam android berwarna biru."
1225,"“Atas perbuatannya, tersangka L dijerat dengan Pasal 114 ayat (2) Jo Pasal 112 ayat (2) Undang-Undang RI Nomor 35 Tahun 2009 tentang Narkotika, serta Pasal 435 Sub Pasal 138 ayat (2) Jo Pasal 436 ayat (2) Undang-Undang RI Nomor 17 Tahun 2023 tentang Kesehatan,” ujarnya."
1226,"Sugiya menjelaskan, berdasarkan hasil penyelidikan pihaknya, pelaku mendapatkan barang haram tersebut dari Banjarmasin, Kalimantan Selatan (Kalsel)."
1227,Adapun motif pelaku melakukan tindak pidana itu karena terhimpit kondisi ekonomi.
1228,"“Dia pesan (barang haram itu) dari Banjarmasin, kemudian dikirim ke Muara Teweh (Barito Utara), seperti itu,” ucapnya."
1229,"Dari kejadian itu, pihaknya juga mengapresiasi peran serta masyarakat yang memberikan informasi kepada pihak kepolisian, sehingga tindak pidana peredaran narkotika ini bisa terungkap."
1230,"“Diharapkan masyarakat agar selalu waspada terhadap peredaran narkoba di lingkungan sekitar dan tidak segan melaporkan kepada pihak berwajib jika mengetahui adanya indikasi aktivitas yang mencurigakan terkait narkotika,” pungkasnya."
1231,Menghadapi Ekonomi Global yang Proteksionisme
1232,Pemerhati masalah sosial.
1233,Bekerja sebagai pegawai negeri sipil sejak 1986 hingga 2016.
1234,Terpilihnya Donald Trump sebagai Presiden Amerika Serikat (AS) 2025-2029 menimbulkan kerisauan atas potensi dampak negatif dari kebijakan ekonominya yang proteksionisme.
1235,"Dalam kampanyenya, Trump berencana mengenakan tarif impor tinggi, kuota impor yang ketat, dan berbagai hambatan non-tarif lainnya."
1236,Semua itu akan secara langsung membatasi akses pasar produk-produk Indonesia ke AS.
1237,"Penurunan ekspor komoditas Indonesia, khususnya produk-produk Usaha Mikro, Kecil, dan Menengah (UMKM), belum tentu dapat diatasi dengan meningkatkan ekspor ke negara-negara lain dalam waktu singkat."
1238,Tatanan ekonomi global yang berubah akibat kebijakan ekonomi Trump memerlukan penyesuaian yang bisa jadi rumit dan lama.
1239,"Untuk sementara waktu, UMKM Indonesia akan beralih fokus mengembangkan pasar domestik."
1240,Ada berkah terselubung dari perkembangan ini.
1241,Persaingan yang bertambah ketat di dalam negeri akan memaksa UMKM untuk berinovasi dan menciptakan produk dengan nilai tambah lebih tinggi.
1242,"Selain itu, pembentukan kemitraan yang terdorong oleh masalah bersama, akan menyebabkan pengusaha di sektor-sektor lain untuk meningkatkan kemampuan diri, mengikuti irama persaingan yang ketat."
1243,"Pada waktunya, UMKM Indonesia dan ekonomi nasional pada umumnya akan dapat tumbuh dan berkembang, sebelum akhirnya kembali lagi memasuki pasar global."
1244,"Namun perubahan alami itu bisa memakan waktu lama, sementara pasar dalam negeri akan tiba-tiba dibanjiri barang impor dari negara-negara maju dan berkembang lain yang terimbas kebijakan proteksionisme Trump."
1245,"Maka, pemerintahan Prabowo Subianto perlu segera menyusun strategi yang tepat untuk mendukung UMKM nasional agar dapat bertahan, bahkan berkembang."
1246,Tatanan baru perekonomian global akibat perubahan pemerintahan di AS menuntut pemerintah untuk melakukan berbagai upaya strategis mendukung UMKM.
1247,Beberapa hal yang perlu dilakukan akan diuraikan berikut ini.
1248,"Untuk menembus pasar yang baru guna mengkompensasi menurunnya permintaan dari AS, pemerintah perlu mengaktifkan perjanjian perdagangan yang diikuti seperti APEC, RCEP, BRICS dan lebih aktif memperbanyak misi dagang ke berbagai negara."
1249,"Pemerintah perlu segera membenahi prosedur ekspor, memperbanyak standarisasi dan sertifikasi produk, dan memberi bantuan desain produk yang inovatif agar produk UMKM lebih kompetitif di pasar global."
1250,"Pemerintah perlu memastikan akses internet yang merata dan terjangkau bagi seluruh lapisan masyarakat, termasuk di daerah pedesaan di mana berbagai bahan baku produk UMKM di perkotaan berasal."
1251,"Selain itu, pengembangan platform e-commerce lokal dan pelatihan digital bagi pelaku UMKM akan membantu mereka dalam berjualan secara online."
1252,"Dorong Inklusi Keuangan dan Kesetaraan Gender bagi Pelaku UMKM, Kumpul Executive Lab Forum 2024 Digelar"
1253,Forum diskusi bertaraf nasional Kumpul Executive Lab Forum 2024 digelar di Jakarta Pusat dengan misi memperkuat akses pasar dan inklusi keuangan bagi pelaku usaha mikro kecil dan menengah (UMKM) di Indonesia.
1254,"Mengusung tema ""Collaboration for Empowering Innovation & Global Reach,"" forum ini mempertemukan berbagai pihak untuk membahas solusi atas tiga isu penting, yakni keterbatasan akses pasar bagi UMKM, tantangan inklusi keuangan, dan kesetaraan gender dalam dunia wirausaha."
1255,"Dengan format diskusi, acara menghadirkan peserta dari kalangan eksekutif kementerian, perusahaan swasta, dan organisasi nirlaba yang terlibat langsung dalam pemberdayaan UMKM dan pengembangan ekonomi."
1256,"Para tokoh yang ahdir di anatranya Direktur Standarisasi dan Sertifikasi Usaha Kemenparekraf Hanifah Makarim, , Chief Human Resources & Marketing FWD Insurance Rudy Franto Manik, Synergy & Innovation BNI Ventures Fuddy Heruzady, dan Senior Specialist of Economic Empowerment Amman Mineral Lalu Nofa Setiawan Putra."
1257,"“Ada sejumlah tantangan dalam dunia wirausaha, seperti risiko kebangkrutan yang lebih tinggi pada usaha milik perempuan meskipun populasi gender seimbang."
1258,"Selain isu kesetaraan, pengembangan wirausaha juga terkendala oleh minimnya anggaran R&D yang hanya 0,28% dari PDB, menghambat inovasi berbasis teknologi."
1259,"Tantangan logistik dengan kondisi Indonesia sebagai negara kepulauan, turut menjadi kendala bagi UMKM,” ujar Ketua Kumpul, Faye Wongso dalam rilis yang diterima , Rabu (13/11/2024)."
1260,"Associate Director Kumpul Impact Sarita Anggun Kinanti, mempresentasikan beberapa temuan dari forum tersebut."
1261,"Hal yang disoroti adalah UMKM saat ini perlu bertransformasi dari sekadar produsen yang mengelola seluruh proses produksi, menjadi bagian spesifik dalam rantai pasok yang lebih luas."
1262,"Hal itu akan memungkinkan UMKM untuk fokus pada peningkatan kualitas produk serta efisiensi, sehingga mampu bersaing secara berkelanjutan."
1263,“Peran strategis dari startup dapat menjadi solusi untuk menjembatani UMKM dengan konsumen.
1264,"Startup berfungsi sebagai penghubung yang menjaga standar kualitas produk UMKM dan memastikan bahwa mereka dapat memenuhi permintaan pasar dengan baik,” lanjutnya."
1265,"Hanifah dalam kesempatan tersebut menyatakan bahwa pendekatan ekonomi Blue, Green, dan Circular Economy (BGCE) dapat menjadi solusi bagi akses pasar di Indonesia."
1266,"“Blue economy mendukung ekonomi dan konservasi maritim, green economy menekankan keberlanjutan ekonomi dan sosial, sementara circular economy mempromosikan siklus produksi untuk menjaga kelestarian lingkungan dan kesejahteraan manusia."
1267,"Implementasi BGCE memerlukan komitmen investasi, sumber daya manusia (SDM), infrastruktur, dan kebijakan yang kondusif,” paparnya."
1268,Masalah pembiayaan juga menjadi hambatan besar bagi UMKM.
1269,"Kredit Usaha Rakyat (KUR) dengan bunga rendah seharusnya membantu, tetapi proses yang rumit membuat akses sulit."
1270,"Salman Alibhai dari Bank Dunia mengusulkan skema “Graduasi KUR,” di mana UMKM yang sukses melunasi pinjaman pertama mendapat akses ke KUR komersial dengan syarat yang lebih fleksibel."
1271,Skema ini mendorong disiplin finansial dan membuka akses bagi UMKM yang tidak memenuhi syarat KUR konvensional.
1272,Kesenjangan gender dalam kewirausahaan menjadi fokus utama lain dalam forum tersebut.
1273,"Data Bank Dunia menunjukkan bahwa meskipun perempuan Indonesia menyumbang sekitar 52% dari peserta aktif dalam perekonomian, hanya sebagian kecil yang mampu berkembang hingga skala usaha kecil dan menengah."
1274,"Diskusi forum tersebut mendorong berbagai inisiatif untuk mendukung partisipasi perempuan, termasuk kemitraan antara Kumpul dan Bank Dunia sebagai knowledge partner untuk mengawasi perkembangan dan mendukung kebijakan yang berpihak pada pengusaha perempuan."
1275,"“Untuk memperkuat akses keuangan bagi UMKM, perlu kolaborasi dengan sektor swasta dan kebijakan jaminan kredit dari OJK."
1276,"Langkah ini diyakini dapat memperluas akses kredit formal bagi pelaku usaha perempuan yang selama ini terhambat oleh persyaratan ketat dari lembaga keuangan,” ujar Managing Director Kumpul Mega Prawita."
1277,"Faye menambahkan bahwa Kumpul berkomitmen mendukung program-program inklusi keuangan, kesetaraan gender, dan digitalisasi UMKM di Indonesia."
1278,"“Melalui berbagai inisiatif yang sejalan dengan tujuan Sustainable Development Goals (SDGs), Kumpul berharap dapat memperkuat peran UMKM sebagai bagian dari ekonomi yang inklusif dan berkelanjutan,” tambahnya."
1279,Kontraksi Ekonomi Kelas Menengah Indonesia
1280,"DATA terakhir Badan Pusat Statistik (BPS) menunjukkan bahwa 9,48 juta warga kelas menengah Indonesia mengalami turun kelas dalam lima tahun terakhir."
1281,"Kondisi ini tentu cukup mengkhawatirkan secara ekonomi, mengingat kelas menengah adalah salah satu tulang punggung perekonomian nasional, terutama terkait dengan kontribusinnya pada sisi konsumsi dan sisi fiskal."
1282,"Bagaimanapun harus pula diakui bahwa penurunan kelas menengah ini ikut memberikan andil besar pada deflasi yang terjadi selama beberapa bulan belakangan, akibat melemahnya permintaan."
1283,"Apabila merujuk kepada klasifikasi kelompok sosial berdasarkan garis kemiskinan yang disusun oleh BPS, terdapat lima kategori kelas, yakni kelas miskin (di bawah gari kemiskinan), kelas rentan miskin (1 – 1,5 kali garis kemiskinan), kelas calon kelas menengah (1,5 – 3,5 kali garis kemiskinan), kelas menengah (3,5 – 17 kali garis kemiskinan), dan kelas atas (lebih dari 17 kali garis kemiskinan)."
1284,Calon kelas menengah adalah kelompok sosial ekonomi terbesar di Indonesia.
1285,"Pada periode 2019-2024, jumlahnya bertambah 8,65 juta hingga menyentuh 137,5 juta orang."
1286,Kelompok terbesar kedua adalah kelompok rentan miskin.
1287,"Selama lima tahun terakhir, jumlah warga rentan miskin bertambah 12,72 juta orang."
1288,"Per 2024, angkanya mencapai 67,69 juta, atau 24,23% total populasi."
1289,"Nah, pada saat jumlah warga calon kelas menengah dan rentan miskin terus bertambah, penduduk kelas menengah justru mengalami penurunan yang cukup signifikan."
1290,"Sepanjang 2019-2024, warga kelas menengah berkurang 9,48 juta orang menjadi hanya 47,85 juta."
1291,"Kini, proporsinya hanya 17,13% total populasi, turun dari 21,45% pada lima tahun silam."
1292,"Padahal, proporsi kelas menengah diharapkan bisa mencapai sekitar 70% total populasi pada 2045 nanti."
1293,"LPEM FEB UI dalam laporan 'Indonesia Economic Outlook 2024 for Q3 2024' menyebut bahwa kelas menengah nyatanya memang memegang peran yang sangat penting bagi penerimaan negara, dengan andil 50,7% dari penerimaan pajak."
1294,"Sedangkan calon kelas menengah menyumbang 34,5%."
1295,"Apabila daya beli kelas menengah menurun, secara fiskal kontribusi pajak akan semakin berkurang dan berpotensi memperburuk rasio pajak terhadap PDB yang sudah rendah."
1296,"Dan secara ekonomi, kontribusi konsumsi rumah tangga terhadap pertumbuhan juga akan menurun."
1297,"Namun jika ditilik dalam kacamata kelas menengah sendiri, penurunan tersebut nampaknya cukup bisa dipahami, mengingat semakin beratnya beban hidup yang ditanggung oleh segmen ekonomi ini."
1298,Dengan bahasa sederhana bisa dikatakan bahwa situasi kelas menengah kita memang serba salah dan serba sulit.
1299,"Dikatakan serba salah karena kelas menengah bukanlah segmen masyarakat yang mendapatkan dukungan pemerintah secara fiskal, baik subsidi maupun berbagai macam insentif."
1300,"Airlangga Proyeksi Pertumbuhan Ekonomi Kuartal III 2024 di Kisaran 5,05 Persen"
1301,"Menteri Koordinator Bidang Perekonomian Airlangga Hartarto memperkirakan pertumbuhan ekonomi Kuartal III 2024 akan berada di kisaran 5,05%, seperti pada Kuartal II 2024."
1302,"Untuk diketahui, Badan Pusat Statistik (BPS) akan merilis pertumbuhan ekonomi Indonesia (produk domestik bruto/PDB) Kuartal III 2024 pada siang hari ini, Selasa (4/11/2024)."
1303,"""(Pertumbuhan ekonomi RI Kuartal III 2024) berada di kisaran seperti kemarin,"" ujarnya saat ditemui di kantornya, Jakarta, Senin (4/11/2024)."
1304,"Namun, Airlangga tidak menyebut angka pasti saat ditanya apakah mungkin pertumbuhan ekonomi kuartal ini bisa di atas 5%."
1305,"""Saya tidak berbicara angka, tunggu besok,"" tukasnya."
1306,"Kepala Ekonom Bank Permata, Josua Pardede, memperkirakan pertumbuhan ekonomi Kuartal III sedikit lebih rendah dari kuartal sebelumnya, yakni menjadi 5,02% secara tahunan ."
1307,"""Pertumbuhan ekonomi Kuartal III 2024 diperkirakan berkisar 5,02% secara tahunan dari kuartal sebelumnya 5,05% secara tahunan,"" ujarnya saat dihubungi , Senin."
1308,"Pertumbuhan ekonomi pada periode ini masih ditopang oleh konsumsi rumah tangga yang diperkirakan tumbuh 5,03% secara tahunan."
1309,"Lebih tinggi dibandingkan pada Kuartal II 2024 yang sebesar 4,93%, tetapi lebih rendah dari Kuartal III 2023 yang sebesar 5,05% secara tahunan."
1310,Analisis dan Sikap BRI Terkait Kebijakan Ekonomi Prabowo
1311,PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) mengungkapkan strategi dan langkah yang diambil perseroan dalam mendukung kebijakan pemerintahan baru di bawah Presiden Prabowo Subianto dan Wapres Gibran Rakabuming Raka.
1312,"Seperti diketahui, kebijakan ekonomi Presiden Kedelapan Indonesia itu akan berfokus pada hilirisasi, pembangunan, dan energi."
1313,"Hilirisasi bakal mengarah pada bahan tambang mineral dan produk-produk pertanian, seperti minyak kelapa sawit."
1314,Kemudian pemerintah juga akan fokus pada kebijakan yang mengarah pada swasembada pangan dan energi.
1315,"Menjawab pertanyaan media soal kebijakan tersebut, Direktur Utama BRI Sunarso mengatakan bahwa akan ada dua kerangka yang dilakukan BRI."
1316,"Pertama, kerangka tujuan nasional, yakni BRI akan rutin melakukan analisis terkait."
1317,"Kedua, BRI menganalisis dari sisi peluang bisnis atas kebijakan pemerintah."
1318,"""Berdasarkan analisis kami, pasti ada data-data yang kami analisis."
1319,"Pertama, jika Indonesia ingin keluar dari middle income trap, ekonomi kita, produk domestik bruto (GDP) kita, harus tumbuh minimal 6%, menurut hitungan BRI,"" ucapnya melalui siaran pers, Senin (4/11/2024)."
1320,"Sunarso mengatakan itu dalam press conference Kinerja Keuangan BRI Kuartal III-2024 di Jakarta, Rabu (30/10/2024)"
1321,"Sementara itu, target pertumbuhan ekonomi pemerintah adalah 8% atau melebihi hasil analisis BRI."
1322,Hal itu menunjukkan bahwa target keduanya sudah sinkron dalam mencapai tujuan keluar dari perangkap pendapatan menengah.
1323,"Sunarso mengatakan, untuk mencapai pertumbuhan ekonomi di atas 6%, faktor dominan yang menjadi penentu adalah human capital."
1324,"""Nah, setelah kita sampai pada kesimpulan human capital, lalu apa basis yang harus kita kerjakan untuk meningkatkan kualitas human capital tersebut? Ternyata, faktor pangan, baik ketersediaannya maupun kualitasnya."
1325,"Jadi, klop dengan apa yang dicita-citakan pemerintah, program pemerintah, maka fokuslah pada swasembada pangan,"" paparnya dalam siaran pers."
1326,"Dalam mendukung swasembada pangan, Sunarso mengatakan, ketersediaan dan kecukupan nutrisi perlu dipastikan sehingga dapat meningkatkan kualitas sumber daya manusia (SDM)."
1327,"Kemudian, masyarakat juga dapat memperoleh pendidikan-pendidikan, dalam upaya menciptakan kualitas human capital yang baik."
1328,"Sementara itu, terkait hilirisasi bidang energi, Sunarso mengatakan, hal itu akan meningkatkan perputaran ekonomi."
1329,"""Maka, menurut kami di BRI, baik kajian yang dilakukan secara internal BRI maupun yang mungkin dibuat pemerintah, sebenarnya tidak ada perbedaan sama sekali."
1330,"Sudah klop dalam rangka-kerangka tujuan ekonomi nasional,"" tandasnya."
1331,"Pada kerangka kedua, BRI menganalisis dari sisi peluang bisnis atas kebijakan pemerintah."
1332,Hilirisasi merupakan proses penciptaan nilai tambah produk-produk tambang maupun produk-produk agrikultur di dalam negeri.
1333,Setiap proses penciptaan nilai tambah akan berdampak pada kemampuan meningkatkan penyerapan tenaga kerja.
1334,"“Itu artinya, akan ada distribusi pendapatan yang lebih baik, serta meningkatkan nilai produk yang selama ini dijual dalam bentuk bahan mentah menjadi lebih tinggi karena sudah melalui sentuhan teknologi, tenaga kerja, dan lain-lain,"" jelasnya."
1335,"Maka, kata dia, itu akan mendorong penyerapan tenaga kerja, meningkatkan produktivitas, dan memacu pertumbuhan."
1336,"""Bank pasti akan menikmati bisnis dari peningkatan distribusi pendapatan, serta pertumbuhan ekonomi yang diperoleh dari aktivitas menghilirkan produk-produk tambang maupun produk-produk agrikultur."
1337,"Jadi, itu merupakan peluang bisnis yang luar biasa,"" ujarnya."
1338,"Sunarso mencontohkan, salah satu peluang itu adalah proses panen produk kelapa sawit, yang kemudian diproduksi menjadi minyak sawit, oleokimia, atau produk-produk kosmetik."
1339,"Jika terjadi di dalam negeri, maka proses nilai tambah akan berada di dalam negeri."
1340,"Kemudian jika dijual dan diekspor juga di dalam negeri, hal ini akan meningkatkan penyerapan tenaga kerja."
1341,"Menurutnya, hal itu sama dengan hilirisasi produk-produk pangan yang juga berkaitan dengan penyediaan makanan bergizi."
1342,"""Singkat cerita, dari kerangka tujuan pembangunan nasional, analisisnya memang akan berfokus pada peningkatan kualitas human capital, antara lain membutuhkan swasembada pangan dan energi, “katanya."
1343,"Dalam kerangka bisnis, kata Sunarso, proses penghiliran baik produk tambang maupun produk agrikultur akan meningkatkan aktivitas ekonomi dan pemerataan pendapatan."
1344,Ini adalah peluang bisnis bagi perbankan.
1345,Transaksi Bisnis ISEF 2024 Dekati Angka Rp 2 Triliun
1346,Indonesia Sharia Economic Festival (ISEF) 2024 yang digelar di Jakarta Convention Center (JCC) dari Rabu (30/10/2024) hingga Minggu (3/11/2024) mencatatkan transaksi bisnis hampir Rp 2 triliun.
1347,"Capaian tersebut meliputi komitmen dan realisasi pembiayaan sebesar Rp 641 miliar, komitmen dan realisasi perdagangan Rp 295 miliar, serta komitmen kerja sama ekosistem keuangan syariah sebesar Rp 1 triliun."
1348,"Perhelatan syariah terbesar di Indonesia itu juga menarik sekitar 1,5 juta pengunjung secara luring maupun daring."
1349,"Menteri Koordinator Bidang Perekonomian Airlangga Hartarto yang hadir saat pembukaan ISEF 2024 menyatakan, ekonomi syariah dan industri halal berperan strategis dalam memperkuat ketahanan ekonomi Indonesia di tengah tantangan global."
1350,"“Dengan jumlah penduduk muslim mencapai 87% dan kontribusi ekonomi syariah dalam produk domestik bruto (PDB) yang mencapai 48,71%, Indonesia saat ini menempati posisi ketiga dalam State of The Global Islamic Economy."
1351,"Ini menjadi peluang besar bagi pengembangan ekonomi dan keuangan syariah,” ucapnya."
1352,"Berdasarkan data Bank Indonesia (BI), pertumbuhan sektor unggulan Halal Value Chain (HVC) mencapai 5,07% pada kuartal II 2024."
1353,"Sektor ini berasal dari pertanian dan makanan minuman halal, pariwisata ramah muslim, serta fesyen muslim."
1354,"Yogarta AWAWA PRABANING ARKA Gubernur BI Perry Warjiyo, mantan Wakil Presiden Indonesia Jusuf Kalla, dan Wakil Presiden Indonesia saat melakukan tour booth di ISEF 2024."
1355,Program strategis perkuat ekosistem
1356,"Untuk menumbuhkan sektor ekonomi dan keuangan syariah, BI telah mencanangkan empat program strategis yang diluncurkan dalam ISEF 2024."
1357,"Pertama, aplikasi Halal Traceability untuk penelusuran produk from farm to table."
1358,"Kedua, digitalisasi pondok pesantren yang mencakup sistem pembayaran, pemasaran, hingga pelaporan unit bisnis."
1359,"“Ketiga, Sharia Restricted Investment Account untuk pembiayaan proyek-proyek spesifik."
1360,"Keempat, Strategi Nasional Literasi dan Inklusi Ekonomi Keuangan Syariah yang menggunakan pemodelan system dynamics,” jelas Gubernur BI Perry Warjiyo pada pembukaan ISEF 2024."
1361,Kolaborasi untuk pengembangan ekonomi syariah
1362,Perhelatan ISEF Ke-11 ini mengangkat tema “Sinergi of Syariah Economy and Finance in Strengthening Resilience and Sustainable Economic Growth”.
1363,"ISEF 2024 menghadirkan 71 rangkaian kegiatan, meliputi 17 seminar dan forum domestik dan internasional, 20 pagelaran busana, 10 talk show, tablig akbar dan kajian, serta kegiatan family run."
1364,Sebanyak 5.000 pelaku usaha mikro kecil dan menengah (UMKM) syariah unggulan berpartisipasi dengan total omzet penjualan mencapai Rp 115 miliar.
1365,"Sebelum puncak acara, ISEF 2024 diawali dengan rangkaian Road to ISEF berupa Festival Ekonomi Keuangan Syariah di tiga wilayah, yakni Kepulauan Riau mewakili Sumatera, Sulawesi Tenggara mewakili kawasan timur Indonesia, dan Jawa Timur mewakili wilayah Jawa."
1366,Rangkaian kegiatan tersebut memperluas jangkauan dan dampak ISEF hingga ke berbagai wilayah Indonesia.
1367,"Salah satu highlight acara, yakni Indonesia International Modest Fashion Festival (IN2MF), berhasil meraih penghargaan Museum Rekor Dunia Indonesia (MURI) sebagai festival busana berkarakter dengan koleksi terbanyak."
1368,"Sebanyak 1.622 koleksi karya 208 desainer lokal dan 10 desainer internasional dipamerkan dalam ajang kolaborasi BI, Kementerian Usaha Mikro Kecil dan Menengah (UMKM), serta Indonesian Fashion Chamber itu."
1369,Deputi Gubernur Senior BI Destry Damayanti menekankan bahwa ISEF lebih dari sekadar festival.
1370,Ajang ini juga menjadi wadah kolaborasi membangun ekosistem syariah berkelanjutan.
1371,"“Sinergi, inovasi, digitalisasi, serta kepatuhan terhadap prinsip syariah diperlukan untuk mewujudkan visi Indonesia sebagai pusat ekonomi dan keuangan syariah dunia,” ucapnya saat penutupan ISEF 2024."
1372,"Pertumbuhan Ekonomi Global Belum Solid, Airlangga Pantau Pilpres AS"
1373,"Menteri Koordinator Bidang Perekonomian, Airlangga Hartarto mengatakan, bakal memantau perkembangan ekonomi global termasuk Pemilihan Presiden (Pilpres) di Amerika Serikat (AS)."
1374,"Hal ini mengingat Indonesia dan negara-negara ASEAN mengandalkan konsumsi di Eropa, China, maupun konsumsi di Amerika Serikat (AS)."
1375,"Terlebih, pertumbuhan ekonomi dunia pun belum kembali ke level pra-pandemi di mana pertumbuhan relatif solid di angka 6%."
1376,"Adapun saat ini, rerata pertumbuhan ekonomi dunia hanya di angka sekitar 3%."
1377,"""Jadi seluruh dunia masih melihat bahwa global belum baik-baik saja."
1378,"Sehingga kita juga harus memperhatikan perkembangan kekuatan ekonomi di negara-negara lain,"" ucap Airlangga di Kompleks Istana Kepresidenan, Jakarta Pusat, Selasa (5/11/2024)."
1379,"Airlangga menilai, pemantauan dinamika Pilpres AS diperlukan lantaran kebijakan negara sedikit banyak bakal berubah pasca berganti kepemimpinan."
1380,Ia lantas menyoroti turunnya jumlah kelas menengah di negara tersebut.
1381,Penurunan jumlah kelas menengah di Amerika akan mengurangi permintaan (demand) sejumlah barang dan jasa di Indonesia.
1382,"Tak heran, kata Airlangga, presiden terpilih nantinya akan memperbaiki jumlah kelas menengah di negara yang ia pimpin."
1383,"""Itu makanya pekerjaan presiden terpilih itu penting untuk mengangkat kelas menengah."
1384,"Nah, bagi Indonesia, tentu kelas menengah yang turun akan mengurangi demand terhadap produk-produk Indonesia,"" ucapnya."
1385,"Airlangga juga menyoroti kebijakan petahana, Joe Biden, yang mendorong sektor manufaktur kembali ke AS, setelah sebelumnya disebar ke negara-negara Asia."
1386,Kebijakan ini diambil karena AS tak ingin bergantung lebih banyak ke negara-negara Asia.
1387,"""Makanya mereka keluarkan yang namanya Inflation Reduction Act termasuk di dalamnya untuk critical mineral."
1388,Nah bagi Indonesia kita sudah mulai berbicara dengan Amerika untuk critical mineral.
1389,"Karena kita adalah the largest producer dari nikel dan EV ecosystem termasuk anodanya,"" jelas Airlangga."
1390,"Lebih lanjut Airlangga menjelaskan, kepemimpinan di AS secara tidak langsung juga mempengaruhi harga minyak, yang produsennya kebanyakan dari negara Timur Tengah."
1391,"Naik turunnya harga minyak terpengaruh saat konflik memanas di wilayah tersebut, termasuk konflik antara Iran dan Israel dan di mana AS menempatkan diri."
1392,"""Tetapi tentu kepemimpinan di Amerika akan sangat berpengaruh juga terhadap, baik itu perang di Ukraina maupun perang di Israel,"" sebut Airlangga."
1393,"Jawaban Soal ""Untuk Mencapai Peluang Usaha Diperlukan"""
1394,"Dalam bidang ekonomi, kita mengenal istilah peluang usaha."
1395,"Dilansir dari buku Produk Kreatif dan Kewirausahaan Akuntansi dan Keuangan Lembaga (2021) oleh Nur Eli Brahim, dijelaskan mengenai definisi peluang usaha."
1396,"Peluang usaha adalah kesempatan yang dapat dimanfaatkan seseorang untuk mendapatkan apa yang diinginkannya baik berupa keuntungan, kekayaan, atau uang dengan cara memanfaatkan berbagai faktor baik faktor eksternal maupun internal."
1397,Berikut pertanyaan mengenai peluang usaha:
1398,Untuk mencapai peluang usaha diperlukan ....
1399,A.
1400,Modal usahaB.
1401,Perhitungan rumitC.
1402,Kerja keras dan pengorbananD.
1403,Perhitungan laba rugiE.
1404,Perencanaan usaha yang baik
1405,Untuk mencapai peluang usaha diperlukan perencanaan usaha yang baik.
1406,Jawaban (E).
