,tokens,ner_tags
1383,"['Itu', 'makanya', 'pekerjaan', 'presiden', 'terpilih', 'itu', 'penting', 'untuk', 'mengangkat', 'kelas', 'menengah']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1086,"['Seiring', 'dengan', 'hal', 'tersebut', 'kebutuhan', 'pembiayaan', 'defisit', 'fiskal', 'yang', 'lebih', 'besar', 'oleh', 'pemerintahan', 'AS', 'akan', 'mendorong', 'kembali', 'meningkat', 'nya', 'imbal', 'hasil', 'yield', 'US', 'Treasury', 'baik', 'tenor', 'jangka', 'pendek', 'maupun', 'jangka', 'panjang']","[0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2174,"['Luhut', 'Binsar', 'Pandjaitan', 'merupakan', 'pensiunan', 'militer', 'yang', 'kemudian', 'aktif', 'di', 'pemerintahan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11]"
341,"['Hal', 'tersebut', 'disampaikan', 'Vivi', 'menyampaikan', 'mencapai', 'NZE', 'penting', 'karena', 'kondisi', 'perubahan', 'iklim', 'dan', 'hilang', 'nya', 'keanekaragaman', 'hayati']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1653,"['Presiden', 'Direktur', 'AKR', 'Haryanto', 'Adikoesoemo', 'menyatakan', 'bahwa', 'JIIPE', 'berkomitmen', 'untuk', 'memperkuat', 'infrastruktur', 'industri', 'yang', 'ramah', 'lingkungan', 'di', 'Indonesia']","[11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 0, 0, 0, 0, 3]"
147,"['Ketika', 'dikonfirmasi', 'oleh', 'Jaksa', 'KPK', 'ia', 'mengaku', 'baru', 'mengembalikan', 'Rp', '550', 'ribu']","[0, 0, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0]"
2696,"['Meski', 'demikian', 'Sri', 'Mulyani', 'bilang', 'pihak', 'nya', 'yang', 'bertugas', 'sebagai', 'bendahara', 'negara', 'harus', 'hati-hati', 'dalam', 'mencerna', 'semua', 'kebijakan']","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
2252,"['Selain', 'itu', 'peningkatan', 'surplus', 'investasi', 'portofolio', 'yang', 'mencapai', '9,6', 'miliar', 'dollar', 'AS', 'turut', 'berkontribusi', 'signifikan']","[0, 0, 0, 12, 13, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1107,"['Wapres', 'Gibran', 'Pamer', 'Capaian', 'Pertumbuhan', 'Ekonomi', '6,25', 'Persen', 'Ketika', 'Pimpin', 'Solo']","[0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 3]"
848,"['Selain', 'itu', 'kompetisi', 'Cerdas', 'Cermat', 'Akuntansi', 'juga', 'menjadi', 'sorotan', 'dalam', 'Febis', 'Week', 'tahun', 'ini']","[0, 0, 18, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 9]"
966,"['Ini', 'mengakhiri', 'penurunan', 'pertumbuhan', 'ekonomi', 'Negeri', 'Sakura', 'tersebut', 'selama', 'dua', 'kartal', 'berturut-turut']","[0, 0, 12, 12, 16, 0, 0, 0, 0, 14, 0, 0]"
1072,"['Untuk', 'setiap', 'Rp', '100.000', 'yang', 'mereka', 'belanjakan', 'kenaikan', 'PPN', 'sebesar', '1', '%', 'mungkin', 'terlihat', 'kecil', 'di', 'atas', 'kertas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
2302,"['Akan', 'tetapi', 'kata', 'dia', 'kendala', 'besar', 'yang', 'sering', 'dihadapi', 'adalah', 'ketergantungan', 'pada', 'cuaca', 'dalam', 'proses', 'pengeringan', 'rumput', 'laut']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
155,"['Sementara', 'itu', 'karena', 'berstatus', 'terdakwa', 'gaji', 'mereka', 'saat', 'ini', 'dipotong', '50', '%', 'dan', 'istri', 'mereka', 'tidak', 'bekerja']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 0, 0, 0, 0, 0]"
665,"['Dari', 'dalam', 'negeri', 'Badan', 'Pusat', 'Statistik', 'BPS', 'melaporkan', 'pertumbuhan', 'ekonomi', 'Indonesia', 'kuartal', 'III-2024', 'mencapai', '4,95', '%', 'secara', 'tahunan', 'atau', 'year', 'on', 'year', 'secara', 'tahunan']","[0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
2022,"['Indonesia', 'tetap', 'menjadi', 'negara', 'dengan', 'perekonomian', 'digital', 'terbesar', 'di', 'Asia', 'Tenggara', 'dan', 'diperkirakan', 'tahun', 'ini', 'akan', 'berakhir', 'di', 'sekitar', '90', 'miliar', 'dollar', 'AS']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1002,"['Hal', 'tersebut', 'disampaikan', 'nya', 'saat', 'memberi', 'pengarahan', 'kepada', 'pelaku', 'Pahlawan', 'Ekonomi', 'di', 'Karangpilang', 'Surabaya', 'Jumat', '15/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
2184,"['Sebelum', 'menjadi', 'menteri', 'Mari', 'merupakan', 'pernah', 'bekerja', 'di', 'Centre', 'for', 'Strategic', 'and', 'International', 'Studies', 'CSIS', 'di', 'Jakarta']","[0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
2353,"['Kemenangan', 'Trump', 'ini', 'bagi', 'Indonesia', 'lebih', 'banyak', 'ke', 'aspek', 'keuangan', 'dan', 'moneter', 'ujar', 'Direktur', 'Eksekutif', 'The', 'Prakarsa', 'Ah', 'Maftuchan', 'Rabu', '6/11/2024']","[0, 6, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
176,"['Forum', 'ini', 'yang', 'memasuki', 'tahun', 'ke-19', 'diselenggarakan', 'oleh', 'China', 'Economic', 'and', 'Social', 'Council', 'CESC', 'dengan', 'tema', 'utama', 'Building', 'a', 'Community', 'with', 'a', 'Shared', 'Future', 'for', 'Mankind', 'Working', 'Together', 'to', 'Make', 'a', 'Modern', 'World']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
2481,"['Menurut', 'dia', 'judol', 'merupakan', 'bencana', 'nasional', 'yang', 'melibatkan', 'banyak', 'korban']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1524,"['Selain', 'itu', 'pada', 'akhir', 'tahun', 'juga', 'terdapat', 'libur', 'Natal', 'dan', 'Tahun', 'Baru', 'Nataru', 'yang', 'akan', 'menjadi', 'momentum', 'lonjakan', 'konsumsi', 'rumah', 'tangga']","[0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
2638,"['Lebih', 'lanjut', 'Erick', 'mengungkapkan', 'pendirian', 'bullion', 'bank', 'sudah', 'pernah', 'dirapatkan', 'secara', 'terbatas', 'ratas', 'bersama', 'Presiden', 'RI']","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
1203,"['Perusahaan', 'yang', 'memiliki', 'sertifikat', 'REC', 'akan', 'mendapatkan', 'pengakuan', 'global']","[0, 0, 0, 1, 19, 0, 0, 0, 0]"
24,"['Selain', 'pendapatan', 'dari', 'gaji', 'salary', 'income', 'atau', 'wage', 'income', 'biasanya', 'juga', 'mencakup', 'pendapatan', 'dari', 'pengelolaan', 'bisnis', 'business', 'income', 'pendapatan', 'dari', 'investasi', 'investment', 'income', 'serta', 'pendapatan', 'dari', 'subsidi', 'dan', 'pengurangan', 'pajak', 'tax-benefit', 'income']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
2631,"['Tabungan', 'emas', 'ini', 'kita', 'tidak', 'punya', 'bullion', 'bank', 'ungkap', 'nya']","[0, 13, 0, 0, 0, 0, 0, 0, 0, 0]"
2114,"['Selain', 'dua', 'kesepakatan', 'di', 'atas', 'Indonesia', 'dan', 'China', 'juga', 'meneken', 'tujuh', 'kesepakatan', 'kerja', 'sama', 'pada', 'Sabtu']","[0, 14, 0, 0, 0, 3, 0, 3, 0, 0, 14, 0, 0, 0, 0, 5]"
1860,"['Investasi', 'KEK', 'hingga', 'Kuartal', 'III-2024', 'Tembus', 'Rp', '242,5', 'Triliun']","[13, 23, 0, 0, 0, 0, 0, 0, 5]"
2144,"['Pemerintah', 'Prabowo', 'berkomitmen', 'menarik', 'lebih', 'banyak', 'investasi', 'asing', 'melalui', 'berbagai', 'kebijakan']","[11, 6, 0, 0, 0, 0, 13, 0, 0, 0, 0]"
875,"['Kedua', 'kebijakan', 'fiskal', 'yang', 'pro-pertumbuhan', 'akan', 'cenderung', 'lebih', 'longgar']","[14, 0, 0, 0, 0, 0, 0, 0, 0]"
2519,"['Laporan', 'tersebut', 'mengungkapkan', 'bahwa', '63', '%', 'target', 'dekarbonisasi', 'hanya', 'memperhitungkan', 'pinjaman', 'yang', 'telah', 'dibayarkan', 'sementara', '76', '%', 'target', 'keuangan', 'berkelanjutan', 'mencakup', 'jumlah', 'pinjaman', 'yang', 'telah', 'dibayarkan', 'dan', 'yang', 'belum', 'ditarik']","[0, 0, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
938,"['Ia', 'juga', 'menegaskan', 'bahwa', 'upaya', 'pencegahan', 'barang', 'selundupan', 'memerlukan', 'pendekatan', 'yang', 'menyeluruh', 'baik', 'dari', 'hulu', 'hingga', 'hilir']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2521,"['Laporan', 'pun', 'menyoroti', 'bahwa', 'pemangku', 'kepentingan', 'kesulitan', 'memahami', 'dampak', 'target', 'iklim', 'bank', 'karena', 'pengungkapan', 'disclosure', 'yang', 'tak', 'memadai', 'tentang', 'bagaimana', 'target', 'tersebut', 'dipenuhi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1552,"['Bos', 'DOKU', 'Buka-bukaan', 'Dampak', 'Kenaikan', 'PPN', '12', 'Persen', 'hingga', 'Strategi', 'Hadapi', 'Tantangan', 'Ekonomi', '2025']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
346,"['Di', 'sisi', 'lain', 'Indonesia', 'perlu', 'meningkatkan', 'pertumbuhan', 'ekonomi', 'mengingat', 'telah', 'masuk', 'kategori', 'negara', 'berpendapatan', 'menengah', 'selama', '30', 'tahun']","[0, 0, 0, 3, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2345,"['Ikhtiar', 'menyongsong', 'masa', 'depan', 'berbekal', 'catatan', 'hingga', 'hari', 'ini', 'termasuk', 'dari', 'kekayaan', 'Arsip', 'Kompas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
2776,"['Ini', 'penting', 'karena', 'selama', 'kurang', 'lebih', 'dua', 'tahun', 'kita', 'sudah', 'melaksanakan', 'kegiatan', 'ini', 'dan', 'hasil', 'nya', 'terkendali', 'cukup', 'baik']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1789,"['Kami', 'mengurangi', 'jumlah', 'kantor', 'untuk', 'meningkatkan', 'partisipasi', 'masyarakat', 'dalam', 'layanan', 'perbankan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
385,"['Meski', 'menurun', 'dibandingkan', 'tahun', 'lalu', 'perekonomian', 'tetap', 'mendapat', 'dukungan', 'dari', 'sektor', 'ekspor', 'imbuh', 'dia']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1993,"['Sektor', 'ini', 'memberikan', 'dampak', 'besar', 'melalui', 'multiplier', 'effect', 'yang', 'mendorong', 'pertumbuhan', 'ekonomi', 'di', 'daerah', 'penghasil', 'migas', 'maupun', 'skala', 'nasional', 'ujar', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2346,"['Donald', 'Trump', 'dipastikan', 'memenangi', 'Pemilu', 'Amerika', 'Serikat', 'AS', '2024']","[6, 8, 0, 0, 18, 9, 9, 9, 5]"
2053,"['Sukses', 'Kendalikan', 'Inflasi', 'Pj', 'Gubernur', 'Samsudin', 'Instruksikan', 'Jaga', 'Stabilitas', 'Ekonomi', 'Lampung']","[0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 3]"
243,"['Dengan', 'capaian', 'ini', 'KEK', 'Sanur', 'optimistis', 'untuk', 'terus', 'berkontribusi', 'dalam', 'mendukung', 'pertumbuhan', 'ekonomi', 'nasional', 'dan', 'mewujudkan', 'visi', 'KEK', 'Sanur', 'sebagai', 'International', 'Medical', 'Wellness', 'Destination', 'yang', 'membawa', 'added', 'value', 'dan', 'dampak', 'positif', 'bagi', 'pertumbuhan', 'ekonomi', 'lokal', 'maupun', 'nasional', 'pungkas', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 9]"
1876,"['Kita', 'terus', 'meningkatkan', 'literasi', 'anti', 'judi', 'online', 'di', 'masyarakat', 'ucap', 'Nezar']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
936,"['Industri', 'dalam', 'negeri', 'mengalami', 'tekanan', 'luar', 'biasa', 'dari', 'produk', 'selundupan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1689,"['Selain', 'itu', 'PLN', 'juga', 'merancang', 'pembangunan', 'jaringan', 'transmisi', 'listrik', 'bertajuk', 'Green', 'Enabling', 'Transmission', 'Line', 'sepanjang', '70.000', 'kilometer', 'sirkuit', 'kms']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19]"
2412,"['Kemudian', 'juga', 'berbagai', 'kegiatan', 'termasuk', 'implementasi', 'yang', 'lebih', 'dalam', 'dari', 'local', 'currency', 'settlement', 'atau', 'LCS', 'karena', 'itu', 'juga', 'penting']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19]"
312,"['Dengan', 'rating', 'Id', 'AAA', 'dari', 'lembaga', 'pemeringkat', 'Pefindo', 'green', 'bonds', 'ini', 'terdiri', 'dari', 'dua', 'jenis', 'yaitu', 'series', 'A', 'Rp', '4', 'triliun', 'dengan', 'tenor', '3', 'tahun', 'dan', 'series', 'B', 'Rp', '1', 'triliun', 'dengan', 'tenor', '5', 'tahun']","[0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
1459,"['Adapun', 'sektor', 'yang', 'akan', 'dikerjasamakan', 'antara', 'lain', 'industri', 'hilirisasi', 'produk', 'kelautan', 'seperti', 'pengolahan', 'makanan', 'laut', 'dan', 'biofarmasi', 'kelautan', 'serta', 'kerja', 'sama', 'industri', 'pembuatan', 'dan', 'perbaikan', 'kapal', 'transportasi', 'laut', 'pembangunan', 'dermaga', 'dan', 'pelabuhan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2768,"['Pernyataan', 'tersebut', 'disampaikan', 'Tito', 'saat', 'memimpin', 'Rapat', 'Koordinasi', 'Rakor', 'Pengendalian', 'Inflasi', 'Daerah', 'Tahun', '2024', 'yang', 'digelar', 'secara', 'hybrid', 'dari', 'Gedung', 'Sasana', 'Bhakti', 'Praja', 'SBP', 'di', 'Kantor', 'Pusat', 'Kementerian', 'Dalam', 'Negeri', 'Kemendagri', 'Jakarta', 'Senin', '4/11/2024']","[0, 0, 0, 6, 0, 0, 18, 9, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
1918,"['Padahal', 'penjualan', 'lada', 'ke', 'Malu', 'ku', 'dari', 'Kesultanan', 'Palembang', 'mencapai', '20.000', 'pikul', 'dalam', 'satu', 'tahun']","[0, 0, 1, 0, 0, 0, 0, 11, 2, 0, 0, 0, 0, 0, 10]"
1332,"['Hilirisasi', 'merupakan', 'proses', 'penciptaan', 'nilai', 'tambah', 'produk-produk', 'tambang', 'maupun', 'produk-produk', 'agrikultur', 'di', 'dalam', 'negeri']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
968,"['UNSPLASH', 'JASE', 'BLOOR', 'Ilustrasi', 'suasana', 'di', 'kota', 'Tokyo', 'Jepang']","[0, 0, 0, 0, 0, 0, 0, 0, 15]"
1454,"['Indonesia', 'dan', 'China', 'menyepakati', 'kerja', 'sama', 'terkait', 'blue', 'economy', 'atau', 'ekonomi', 'biru']","[3, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
660,"['Pada', 'penutupan', 'bursa', 'kemarin', 'IHSG', 'ditutup', 'menguat', 'ke', 'level', '7.491', 'atau', 'tumbuh', '12,43', 'poin', 'setara', '0,17', '%']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 22]"
935,"['Ia', 'menegaskan', 'bahwa', 'industri', 'dalam', 'negeri', 'khususnya', 'di', 'sektor', 'TPT', 'mengalami', 'tekanan', 'luar', 'biasa', 'akibat', 'masuk', 'nya', 'barang-barang', 'selundupan', 'yang', 'mengancam', 'eksistensi', 'pabrik-pabrik', 'lokal']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
370,"['Anda', 'berada', 'di', 'dekat', 'fasilitas', 'dan', 'kepentingan', 'milik', 'Hizbullah', 'yang', 'akan', 'ditindak', 'tegas', 'oleh', 'militer', 'Israel', 'dalam', 'waktu', 'dekat', 'kata', 'unggahan', 'tersebut', 'dalam', 'bahasa', 'Arab']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
566,"['Perencanaan', 'pembangunan', 'harus', 'membutuhkan', 'data', 'yang', 'valid', 'sehingga', 'bisa', 'berjalan', 'dengan', 'baik']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1024,"['Padahal', 'masalah', 'utama', 'di', 'Jakarta', 'Utara', 'itu', 'selain', 'soal', 'isu', 'air', 'yang', 'utama', 'adalah', 'penurunan', 'tanah', 'kata', 'Elisa', 'dalam', 'Obrolan', 'Newsroom', 'Minggu', '17/11/2024']","[0, 0, 0, 0, 3, 15, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 6, 0, 0, 0, 0, 17]"
824,"['Indonesia', 'tak', 'berbeda']","[3, 0, 0]"
982,"['Pernyataan', 'tersebut', 'disampaikan', 'Budi', 'dalam', 'pertemuan', 'bilateral', 'dengan', 'Sekretaris', 'Perdagangan', 'dan', 'Pembangunan', 'Ekonomi', 'Hongkong', 'Algernon', 'Yau', 'yang', 'berlangsung', 'di', 'Lima', 'Peru', 'Jumat', '15/11/2024']","[0, 0, 0, 6, 0, 0, 0, 0, 11, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
2616,"['Dampingan', 'dilakukan', 'oleh', 'bankir', 'pemberdaya', 'yang', 'rutin', 'mendampingi', 'nasabah', 'secara', 'bersahabat']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1849,"['Lewat', 'fitur', 'ini', 'nasabah', 'Danamon', 'bisa', 'membeli', 'produk', 'melalui', 'platform', 'milik', 'startup', 'tanpa', 'perlu', 'mentransfer', 'dana']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1645,"['Kawasan', 'Ekonomi', 'Khusus', 'KEK', 'Gresik', 'Java', 'Integrated', 'Industrial', 'Ports', 'Estate', 'JIIPE', 'mendapatkan', 'kunjungan', 'dari', 'Duta', 'Besar', 'Singapura', 'untuk', 'Indonesia', 'HE', 'Kwok', 'Fook', 'Seng']","[4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
2414,"['Sementara', 'di', 'sektor', 'keamanan', 'juga', 'ada', 'pembahasan', 'yang', 'akan', 'ditindaklanjuti', 'oleh', 'Menteri', 'Luar', 'Negeri', 'dan', 'Menteri', 'Pertahanan', 'dari', 'Indonesia', 'dan', 'China']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 2, 0, 11, 2, 0, 3, 0, 3]"
2098,"['Presiden', 'juga', 'menyebut', 'pemerintah', 'akan', 'bekerja', 'keras', 'menjaga', 'iklim', 'investasi', 'dan', 'fasilitas', 'yang', 'baik', 'untuk', 'menyambut', 'para', 'investor', 'dari', 'China']","[0, 0, 0, 11, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
2113,"['Mari', 'kita', 'bekerja', 'untuk', 'kemakmuran', 'untuk', 'rakyat', 'Anda', 'rakyat', 'saya', 'rakyat', 'Asia', 'dan', 'dunia', 'tambah', 'mantan', 'Menteri', 'Pertahanan', 'itu']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 11, 2, 0]"
813,"['Untuk', 'proyek', 'sekelas', 'kereta', 'cepat', 'saja', 'misalnya', 'dibutuhkan', 'keroyokan', 'dari', 'beberapa', 'BUMN', 'dan', 'investasi', 'dari', 'China']","[0, 0, 0, 1, 19, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3]"
1430,"['Ketiga', 'nya', 'yakni', 'pasangan', 'nomor', 'urut', '1', 'yang', 'diusung', 'Koalisi', 'Indonesia', 'Maju', 'KIM', 'Ridwan', 'Kamil-Suswono']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 8]"
778,"['Untuk', 'mencapai', 'visi', 'tersebut', 'kolaborasi', 'pemangku', 'kepentingan', 'dan', 'penerapan', 'strategi', 'pembiayaan', 'yang', 'inovatif', 'perlu', 'dilakukan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1749,"['Dengan', 'kebijakan', 'ini', 'pemerintah', 'berharap', 'para', 'produsen', 'pangan', 'ini', 'dapat', 'bekerja', 'dengan', 'lebih', 'tenang', 'dan', 'yakin', 'serta', 'mendapat', 'penghargaan', 'yang', 'layak', 'dari', 'masyarakat', 'atas', 'kontribusi', 'nya', 'terhadap', 'kehidupan', 'bangsa']","[0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1320,"['Sunarso', 'mengatakan', 'itu', 'dalam', 'press', 'conference', 'Kinerja', 'Keuangan', 'BRI', 'Kuartal', 'III-2024', 'di', 'Jakarta', 'Rabu', '30/10/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
1914,"['Akibat', 'ada', 'nya', 'pasar', 'bebas', 'penjualan', 'lada', 'ke', 'pihak', 'Belanda', 'menjadi', 'berkurang']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
2683,"['POPULER', 'MONEY', 'Apple', 'Tak', 'Lunasi', 'Kekurangan', 'Investasi', 'Rp', '300', 'Miliar', 'Padahal', 'Untung', 'Rp', '30', 'T', 'Ini', 'Dampak', 'Kebijakan', 'America', 'First', 'Trump', 'ke', 'Ekonomi', 'RI']","[0, 0, 19, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3]"
1052,"['Saat', 'ini', 'pemerintah', 'sedang', 'membuat', 'aturan', 'mengenai', 'formulasi', 'upah', 'minimum', 'provinsi', 'UMP', 'sebagai', 'tindak', 'lanjut', 'atas', 'putusan', 'Mahkamah', 'Konstitusi', 'MK', 'yang', 'membatalkan', 'sejumlah', 'pasal', 'UU', 'Cipta', 'Kerja', 'terkait', 'pengupahan']","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2164,"['Lokasi', 'nya', 'strategis', 'terhubung', 'dengan', 'berbagai', 'proyek', 'nasional', 'seperti', 'Ibu', 'Kota', 'Nusantara', 'IKN', 'serta', 'menawarkan', 'peluang', 'besar', 'di', 'sektor', 'hilirisasi', 'logistik', 'dan', 'perdagangan', 'jelas', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1013,"['Saya', 'percaya', 'kalau', 'ibu-ibu', 'diberdayakan', 'maka', 'ekonomi', 'keluarga', 'akan', 'lebih', 'kuat', 'imbuh', 'Risma']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1401,"['Perhitungan', 'rumitC']","[0, 0]"
2120,"['Imbauan', 'itu', 'merupakan', 'bagian', 'dari', 'lima', 'pesan', 'yang', 'disampaikan', 'Budi', 'Gunawan', 'dalam', 'Rapat', 'Koordinasi', 'Nasional', 'Pemerintah', 'Pusat', 'dan', 'Daerah', 'di', 'Sentul', 'International', 'Convention', 'Center', 'SICC', 'Bogor', 'Jawa', 'Barat', 'Kamis', '7/11/2024']","[0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 8, 0, 18, 9, 9, 9, 9, 9, 9, 0, 4, 9, 9, 9, 0, 0, 0, 0, 0, 17]"
2507,"['Bank', 'di', 'Eropa', 'Gagal', 'Tetapkan', 'Rencana', 'Emisi', 'Nol', 'Bersih']","[0, 0, 3, 0, 0, 0, 0, 0, 0]"
2423,"['Anggota', 'Polda', 'Babel', 'yang', 'Tewas', 'Tergantung', 'Ternyata', 'Intel', 'Diduga', 'karena', 'Ekonomi']","[11, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
