,sentence,pos_tag,iob_ner
1766,"Setelah dari Brasil, Prabowo berencana melanjutkan kunjungan kerjanya ke London, Inggris.","[('Setelah', np.str_('SC')), ('dari', np.str_('IN')), ('Brasil', np.str_('NNP')), (',', 'SYM'), ('Prabowo', np.str_('NNP')), ('berencana', np.str_('VB')), ('melanjutkan', np.str_('VB')), ('kunjungan', np.str_('NN')), ('kerja', np.str_('NN')), ('nya', np.str_('PR')), ('ke', np.str_('IN')), ('London', np.str_('NNP')), (',', 'SYM'), ('Inggris', np.str_('NNP')), ('.', 'SYM')]","[('Setelah', 'O'), ('dari', 'O'), ('Brasil', 'B-GPE'), ('Prabowo', 'B-PER'), ('berencana', 'O'), ('melanjutkan', 'O'), ('kunjungan', 'O'), ('kerja', 'O'), ('nya', 'O'), ('ke', 'O'), ('London', 'B-GPE'), ('Inggris', 'I-GPE')]"
1767,Prabowo juga menyatakan niatnya untuk mampir ke Timur Tengah dalam perjalanan pulang ke Indonesia.,"[('Prabowo', np.str_('NNP')), ('juga', np.str_('ADV')), ('menyatakan', np.str_('VB')), ('niat', np.str_('NN')), ('nya', np.str_('PR')), ('untuk', np.str_('IN')), ('mampir', np.str_('NN')), ('ke', np.str_('IN')), ('Timur', np.str_('NNP')), ('Tengah', np.str_('NNP')), ('dalam', np.str_('IN')), ('perjalanan', np.str_('NN')), ('pulang', np.str_('VB')), ('ke', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('.', 'SYM')]","[('Prabowo', 'B-PER'), ('juga', 'O'), ('menyatakan', 'O'), ('niat', 'O'), ('nya', 'O'), ('untuk', 'O'), ('mampir', 'O'), ('ke', 'O'), ('Timur', 'B-GPE'), ('Tengah', 'I-GPE'), ('dalam', 'O'), ('perjalanan', 'O'), ('pulang', 'O'), ('ke', 'O'), ('Indonesia', 'B-GPE')]"
1768,“Nanti pulang dari sini saya akan ke Inggris untuk ketemu bicara masalah ekonomi juga.,"[('""', 'SYM'), ('Nanti', np.str_('VB')), ('pulang', np.str_('VB')), ('dari', np.str_('IN')), ('sini', np.str_('PR')), ('saya', np.str_('PR')), ('akan', np.str_('ADV')), ('ke', np.str_('IN')), ('Inggris', np.str_('NNP')), ('untuk', np.str_('SC')), ('ketemu', np.str_('VB')), ('bicara', np.str_('VB')), ('masalah', np.str_('NN')), ('ekonomi', np.str_('NN')), ('juga', np.str_('ADV')), ('.', 'SYM')]","[('Nanti', 'O'), ('pulang', 'O'), ('dari', 'O'), ('sini', 'O'), ('saya', 'O'), ('akan', 'O'), ('ke', 'O'), ('Inggris', 'B-GPE'), ('untuk', 'O'), ('ketemu', 'O'), ('bicara', 'O'), ('masalah', 'O'), ('ekonomi', 'O'), ('juga', 'O')]"
1769,Kemungkinan kita bisa narik investasi dan dari situ juga saya berusaha untuk mampir ke Timur Tengah.,"[('Kemungkinan', np.str_('NN')), ('kita', np.str_('PR')), ('bisa', np.str_('ADV')), ('narik', np.str_('NN')), ('investasi', np.str_('NN')), ('dan', np.str_('CC')), ('dari', np.str_('IN')), ('situ', np.str_('PR')), ('juga', np.str_('ADV')), ('saya', np.str_('PR')), ('berusaha', np.str_('VB')), ('untuk', np.str_('SC')), ('mampir', np.str_('NN')), ('ke', np.str_('IN')), ('Timur', np.str_('NNP')), ('Tengah', np.str_('NNP')), ('.', 'SYM')]","[('Kemungkinan', 'O'), ('kita', 'O'), ('bisa', 'O'), ('narik', 'O'), ('investasi', 'B-ASSET_CLASS'), ('dan', 'O'), ('dari', 'O'), ('situ', 'O'), ('juga', 'O'), ('saya', 'O'), ('berusaha', 'O'), ('untuk', 'O'), ('mampir', 'O'), ('ke', 'O'), ('Timur', 'B-GPE'), ('Tengah', 'I-GPE')]"
1770,"Hanya kita lihat apakah tanggalnya cocok,” imbuh Prabowo.","[('Hanya', np.str_('ADV')), ('kita', np.str_('PR')), ('lihat', np.str_('VB')), ('apakah', np.str_('NN')), ('tanggal', np.str_('NN')), ('nya', np.str_('PR')), ('cocok', np.str_('JJ')), (',', 'SYM'), ('""', 'SYM'), ('imbuh', np.str_('NN')), ('Prabowo', np.str_('NNP')), ('.', 'SYM')]","[('Hanya', 'O'), ('kita', 'O'), ('lihat', 'O'), ('apakah', 'O'), ('tanggal', 'O'), ('nya', 'O'), ('cocok', 'O'), ('imbuh', 'O'), ('Prabowo', 'B-PER')]"
1771,Tantangan dan Peluang RI Kejar Target Pertumbuhan Ekonomi 8 Persen,"[('Tantangan', np.str_('NN')), ('dan', np.str_('CC')), ('Peluang', np.str_('NNP')), ('RI', np.str_('NNP')), ('Kejar', np.str_('NNP')), ('Target', np.str_('NNP')), ('Pertumbuhan', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('8', np.str_('NUM')), ('Persen', np.str_('NNP'))]","[('Tantangan', 'O'), ('dan', 'O'), ('Peluang', 'O'), ('RI', 'B-GPE'), ('Kejar', 'O'), ('Target', 'O'), ('Pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('Ekonomi', 'I-ECONOMIC_INDICATOR'), ('8', 'B-PRC'), ('Persen', 'I-PRC')]"
1772,Target Presiden Prabowo Subianto untuk pertumbuhan ekonomi 8 % nampaknya tidak mudah diraih.,"[('Target', np.str_('NN')), ('Presiden', np.str_('NNP')), ('Prabowo', np.str_('NNP')), ('Subianto', np.str_('NNP')), ('untuk', np.str_('SC')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('8', np.str_('NUM')), ('%', np.str_('NUM')), ('nampaknya', np.str_('NN')), ('tidak', np.str_('NEG')), ('mudah', np.str_('JJ')), ('diraih', np.str_('VB')), ('.', 'SYM')]","[('Target', 'O'), ('Presiden', 'O'), ('Prabowo', 'B-PER'), ('Subianto', 'I-PER'), ('untuk', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('8', 'B-PRC'), ('%', 'I-PRC'), ('nampaknya', 'O'), ('tidak', 'O'), ('mudah', 'O'), ('diraih', 'O')]"
1773,Ada tantangan dan peluang dalam prosesnya.,"[('Ada', np.str_('VB')), ('tantangan', np.str_('NN')), ('dan', np.str_('CC')), ('peluang', np.str_('NN')), ('dalam', np.str_('IN')), ('proses', np.str_('NN')), ('nya', np.str_('DT')), ('.', 'SYM')]","[('Ada', 'O'), ('tantangan', 'O'), ('dan', 'O'), ('peluang', 'O'), ('dalam', 'O'), ('proses', 'O'), ('nya', 'O')]"
1774,"Ekonom Core Indonesia Yusuf Rendy Manilet mengatakan, target pertumbuhan ekonomi sebesar 8 % bisa dicapai secara bertahap dalam 5 tahun ke depan.","[('Ekonom', np.str_('NNP')), ('Core', np.str_('NNP')), ('Indonesia', np.str_('NNP')), ('Yusuf', np.str_('NNP')), ('Rendy', np.str_('NNP')), ('Manilet', np.str_('NNP')), ('mengatakan', np.str_('VB')), (',', 'SYM'), ('target', np.str_('NN')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('sebesar', np.str_('NN')), ('8', np.str_('NUM')), ('%', np.str_('NUM')), ('bisa', np.str_('ADV')), ('dicapai', np.str_('VB')), ('secara', np.str_('IN')), ('bertahap', np.str_('VB')), ('dalam', np.str_('IN')), ('5', np.str_('NUM')), ('tahun', np.str_('NN')), ('ke', np.str_('IN')), ('depan', np.str_('ADV')), ('.', 'SYM')]","[('Ekonom', 'O'), ('Core', 'O'), ('Indonesia', 'O'), ('Yusuf', 'B-PER'), ('Rendy', 'O'), ('Manilet', 'O'), ('mengatakan', 'O'), ('target', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('sebesar', 'O'), ('8', 'O'), ('%', 'O'), ('bisa', 'O'), ('dicapai', 'O'), ('secara', 'O'), ('bertahap', 'O'), ('dalam', 'O'), ('5', 'O'), ('tahun', 'O'), ('ke', 'O'), ('depan', 'O')]"
1775,"Meski begitu, terdapat sejumlah tantangan yang akan dihadapi untuk mencapai target tersebut, yaitu sebagai berikut.","[('Meski', np.str_('IN')), ('begitu', np.str_('PR')), (',', 'SYM'), ('terdapat', np.str_('VB')), ('sejumlah', np.str_('NUM')), ('tantangan', np.str_('NN')), ('yang', np.str_('PR')), ('akan', np.str_('ADV')), ('dihadapi', np.str_('VB')), ('untuk', np.str_('SC')), ('mencapai', np.str_('VB')), ('target', np.str_('NN')), ('tersebut', np.str_('DT')), (',', 'SYM'), ('yaitu', np.str_('SC')), ('sebagai', np.str_('IN')), ('berikut', np.str_('VB')), ('.', 'SYM')]","[('Meski', 'O'), ('begitu', 'O'), ('terdapat', 'O'), ('sejumlah', 'O'), ('tantangan', 'O'), ('yang', 'O'), ('akan', 'O'), ('dihadapi', 'O'), ('untuk', 'O'), ('mencapai', 'O'), ('target', 'O'), ('tersebut', 'O'), ('yaitu', 'O'), ('sebagai', 'O'), ('berikut', 'O')]"
1776,Dokumen BPJT Dampak APBN terhadap kegiatan ekonomi masyarakat adalah meningkatkan pertumbuhan ekonomi.,"[('Dokumen', np.str_('NNP')), ('BPJT', np.str_('NNP')), ('Dampak', np.str_('NNP')), ('APBN', np.str_('NNP')), ('terhadap', np.str_('IN')), ('kegiatan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('masyarakat', np.str_('NN')), ('adalah', np.str_('ADV')), ('meningkatkan', np.str_('VB')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('.', 'SYM')]","[('Dokumen', 'O'), ('BPJT', 'O'), ('Dampak', 'O'), ('APBN', 'O'), ('terhadap', 'O'), ('kegiatan', 'O'), ('ekonomi', 'O'), ('masyarakat', 'O'), ('adalah', 'O'), ('meningkatkan', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR')]"
1777,"Berikutnya dampak APBN terhadap kegiatan ekonomi masyarakat yakni membuka lapangan pekerjaan, ketiga pengaruh APBN terhadap perekonomian Indonesia adalah stabilitas keuangan dan investasi.","[('Berikutnya', np.str_('ADV')), ('dampak', np.str_('NN')), ('APBN', np.str_('NNP')), ('terhadap', np.str_('IN')), ('kegiatan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('masyarakat', np.str_('NN')), ('yakni', np.str_('SC')), ('membuka', np.str_('VB')), ('lapangan', np.str_('NN')), ('pekerjaan', np.str_('NN')), (',', 'SYM'), ('ketiga', np.str_('NUM')), ('pengaruh', np.str_('NN')), ('APBN', np.str_('NNP')), ('terhadap', np.str_('IN')), ('perekonomian', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('adalah', np.str_('ADV')), ('stabilitas', np.str_('NN')), ('keuangan', np.str_('NN')), ('dan', np.str_('CC')), ('investasi', np.str_('NN')), ('.', 'SYM')]","[('Berikutnya', 'O'), ('dampak', 'O'), ('APBN', 'O'), ('terhadap', 'O'), ('kegiatan', 'O'), ('ekonomi', 'O'), ('masyarakat', 'O'), ('yakni', 'O'), ('membuka', 'O'), ('lapangan', 'O'), ('pekerjaan', 'O'), ('ketiga', 'O'), ('pengaruh', 'O'), ('APBN', 'O'), ('terhadap', 'O'), ('perekonomian', 'O'), ('Indonesia', 'B-GPE'), ('adalah', 'O'), ('stabilitas', 'O'), ('keuangan', 'O'), ('dan', 'O'), ('investasi', 'B-ASSET_CLASS')]"
1778,Saat ini pertumbuhan ekonomi tengah mengalami perlambatan.,"[('Saat', np.str_('SC')), ('ini', np.str_('PR')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('tengah', np.str_('ADV')), ('mengalami', np.str_('VB')), ('perlambatan', np.str_('NN')), ('.', 'SYM')]","[('Saat', 'O'), ('ini', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('tengah', 'O'), ('mengalami', 'O'), ('perlambatan', 'O')]"
1779,Hal ini terlihat dari pertumbuhan ekonomi Indonesia yang turun tiap kuartal selama 2024.,"[('Hal', np.str_('NN')), ('ini', np.str_('DT')), ('terlihat', np.str_('VB')), ('dari', np.str_('IN')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('yang', np.str_('PR')), ('turun', np.str_('VB')), ('tiap', np.str_('NUM')), ('kuartal', np.str_('NN')), ('selama', np.str_('IN')), ('2024', np.str_('NUM')), ('.', 'SYM')]","[('Hal', 'O'), ('ini', 'O'), ('terlihat', 'O'), ('dari', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('Indonesia', 'B-GPE'), ('yang', 'O'), ('turun', 'O'), ('tiap', 'O'), ('kuartal', 'O'), ('selama', 'O'), ('2024', 'B-DAT')]"
1780,"Berdasarkan data Badan Pusat Statistik (BPS), pertumbuhan ekonomi selama tahun 2024 dari kuartal I sampai kuartal III sebesar masing-masing 5,11 %, 5,05 %, dan 4,95 %.","[('Berdasarkan', np.str_('VB')), ('data', np.str_('NN')), ('Badan', np.str_('NNP')), ('Pusat', np.str_('NNP')), ('Statistik', np.str_('NNP')), ('(', 'SYM'), ('BPS', np.str_('NNP')), (')', 'SYM'), (',', 'SYM'), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('selama', np.str_('IN')), ('tahun', np.str_('NN')), ('2024', np.str_('NUM')), ('dari', np.str_('IN')), ('kuartal', np.str_('NN')), ('I', np.str_('NNP')), ('sampai', np.str_('IN')), ('kuartal', np.str_('NN')), ('III', np.str_('NNP')), ('sebesar', np.str_('NN')), ('masing-masing', np.str_('PR')), ('5,11', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('5,05', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('dan', np.str_('CC')), ('4,95', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Berdasarkan', 'O'), ('data', 'O'), ('Badan', 'O'), ('Pusat', 'O'), ('Statistik', 'O'), ('BPS', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('selama', 'O'), ('tahun', 'O'), ('2024', 'B-DAT'), ('dari', 'O'), ('kuartal', 'O'), ('I', 'O'), ('sampai', 'O'), ('kuartal', 'O'), ('III', 'O'), ('sebesar', 'O'), ('masing-masing', 'O'), ('5,11', 'O'), ('%', 'O'), ('5,05', 'O'), ('%', 'O'), ('dan', 'O'), ('4,95', 'O'), ('%', 'O')]"
1781,"""Kalau kita melihat pertumbuhan ekonomi secara tahunan mulai dari triwulan pertama hingga triwulan ketiga, maka kita melihat pola perlambatan pertumbuhan di tiap triwulan tersebut,"" ujarnya saat dihubungi , Selasa (5/11/2024).","[('""', 'SYM'), ('Kalau', np.str_('SC')), ('kita', np.str_('PR')), ('melihat', np.str_('VB')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('secara', np.str_('IN')), ('tahunan', np.str_('NN')), ('mulai', np.str_('VB')), ('dari', np.str_('IN')), ('triwulan', np.str_('NN')), ('pertama', np.str_('JJ')), ('hingga', np.str_('IN')), ('triwulan', np.str_('NN')), ('ketiga', np.str_('JJ')), (',', 'SYM'), ('maka', np.str_('SC')), ('kita', np.str_('PR')), ('melihat', np.str_('VB')), ('pola', np.str_('NN')), ('perlambatan', np.str_('NN')), ('pertumbuhan', np.str_('NN')), ('di', np.str_('IN')), ('tiap', np.str_('NUM')), ('triwulan', np.str_('NN')), ('tersebut', np.str_('DT')), (',', 'SYM'), ('""', 'SYM'), ('ujar', np.str_('VB')), ('nya', np.str_('PR')), ('saat', np.str_('SC')), ('dihubungi', np.str_('VB')), (',', 'SYM'), ('Selasa', np.str_('NNP')), ('(', 'SYM'), ('5/11/2024', np.str_('NUM')), (')', 'SYM'), ('.', 'SYM')]","[('Kalau', 'O'), ('kita', 'O'), ('melihat', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('secara', 'O'), ('tahunan', 'O'), ('mulai', 'O'), ('dari', 'O'), ('triwulan', 'O'), ('pertama', 'O'), ('hingga', 'O'), ('triwulan', 'O'), ('ketiga', 'O'), ('maka', 'O'), ('kita', 'O'), ('melihat', 'O'), ('pola', 'O'), ('perlambatan', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('di', 'O'), ('tiap', 'O'), ('triwulan', 'O'), ('tersebut', 'O'), ('ujar', 'O'), ('nya', 'O'), ('saat', 'O'), ('dihubungi', 'O'), ('Selasa', 'B-DAT'), ('5/11/2024', 'O')]"
1782,Terkontraksinya pertumbuhan ekonomi pada kuartal III 2024 diiringi oleh konsumsi rumah tangga yang turun secara kuartalan maupun tahunan karena faktor musiman.,"[('Terkontraksi', np.str_('NN')), ('nya', np.str_('DT')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('pada', np.str_('IN')), ('kuartal', np.str_('NN')), ('III', np.str_('NNP')), ('2024', np.str_('NUM')), ('diiringi', np.str_('VB')), ('oleh', np.str_('IN')), ('konsumsi', np.str_('NN')), ('rumah', np.str_('NN')), ('tangga', np.str_('NN')), ('yang', np.str_('PR')), ('turun', np.str_('VB')), ('secara', np.str_('IN')), ('kuartalan', np.str_('NN')), ('maupun', np.str_('CC')), ('tahunan', np.str_('NN')), ('karena', np.str_('SC')), ('faktor', np.str_('NN')), ('musiman', np.str_('NN')), ('.', 'SYM')]","[('Terkontraksi', 'O'), ('nya', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('pada', 'O'), ('kuartal', 'O'), ('III', 'O'), ('2024', 'B-DAT'), ('diiringi', 'O'), ('oleh', 'O'), ('konsumsi', 'O'), ('rumah', 'O'), ('tangga', 'O'), ('yang', 'O'), ('turun', 'O'), ('secara', 'O'), ('kuartalan', 'O'), ('maupun', 'O'), ('tahunan', 'O'), ('karena', 'O'), ('faktor', 'O'), ('musiman', 'O')]"
1783,"Adapun konsumsi rumah tangga pada kuartal III 2024 sebesar 4,91 %, turun dibanding kuartal sebelumnya yang sebesar 4,93 % maupun tahun sebelumnya yang mencapai 5,06 %.","[('Adapun', np.str_('IN')), ('konsumsi', np.str_('NN')), ('rumah', np.str_('NN')), ('tangga', np.str_('NN')), ('pada', np.str_('IN')), ('kuartal', np.str_('NN')), ('III', np.str_('NNP')), ('2024', np.str_('NUM')), ('sebesar', np.str_('NN')), ('4,91', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('turun', np.str_('VB')), ('dibanding', np.str_('VB')), ('kuartal', np.str_('NN')), ('sebelumnya', np.str_('JJ')), ('yang', np.str_('PR')), ('sebesar', np.str_('NN')), ('4,93', np.str_('NUM')), ('%', np.str_('NUM')), ('maupun', np.str_('CC')), ('tahun', np.str_('NN')), ('sebelumnya', np.str_('JJ')), ('yang', np.str_('PR')), ('mencapai', np.str_('VB')), ('5,06', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Adapun', 'O'), ('konsumsi', 'O'), ('rumah', 'O'), ('tangga', 'O'), ('pada', 'O'), ('kuartal', 'O'), ('III', 'O'), ('2024', 'B-DAT'), ('sebesar', 'O'), ('4,91', 'O'), ('%', 'O'), ('turun', 'O'), ('dibanding', 'O'), ('kuartal', 'O'), ('sebelumnya', 'O'), ('yang', 'O'), ('sebesar', 'O'), ('4,93', 'O'), ('%', 'O'), ('maupun', 'O'), ('tahun', 'O'), ('sebelumnya', 'O'), ('yang', 'O'), ('mencapai', 'O'), ('5,06', 'O'), ('%', 'O')]"
1784,Terlebih pada tahun ini juga sempat terjadi deflasi selama lima bulan berturut-turut yakni pada Mei sampai September.,"[('Terlebih', np.str_('JJ')), ('pada', np.str_('IN')), ('tahun', np.str_('NN')), ('ini', np.str_('DT')), ('juga', np.str_('ADV')), ('sempat', np.str_('ADV')), ('terjadi', np.str_('VB')), ('deflasi', np.str_('NN')), ('selama', np.str_('IN')), ('lima', np.str_('NUM')), ('bulan', np.str_('NN')), ('berturut-turut', np.str_('VB')), ('yakni', np.str_('SC')), ('pada', np.str_('IN')), ('Mei', np.str_('NNP')), ('sampai', np.str_('IN')), ('September', np.str_('NNP')), ('.', 'SYM')]","[('Terlebih', 'O'), ('pada', 'O'), ('tahun', 'O'), ('ini', 'O'), ('juga', 'O'), ('sempat', 'O'), ('terjadi', 'O'), ('deflasi', 'B-ECONOMIC_INDICATOR'), ('selama', 'O'), ('lima', 'O'), ('bulan', 'O'), ('berturut-turut', 'O'), ('yakni', 'O'), ('pada', 'O'), ('Mei', 'B-DAT'), ('sampai', 'O'), ('September', 'B-DAT')]"
1785,"Secara berurutan, deflasi Mei sampai September 2024 sebesar 0,03 %, 0,08 %, 0,18 %, 0,18 %, 0,03 persem, dan 0,12 %.","[('Secara', np.str_('IN')), ('berurutan', np.str_('VB')), (',', 'SYM'), ('deflasi', np.str_('NN')), ('Mei', np.str_('NNP')), ('sampai', np.str_('IN')), ('September', np.str_('NNP')), ('2024', np.str_('NUM')), ('sebesar', np.str_('NN')), ('0,03', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('0,08', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('0,18', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('0,18', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('0,03', np.str_('NUM')), ('persem', np.str_('NN')), (',', 'SYM'), ('dan', np.str_('CC')), ('0,12', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Secara', 'O'), ('berurutan', 'O'), ('deflasi', 'B-ECONOMIC_INDICATOR'), ('Mei', 'I-ECONOMIC_INDICATOR'), ('sampai', 'I-DAT'), ('September', 'B-DAT'), ('2024', 'I-DAT'), ('sebesar', 'O'), ('0,03', 'O'), ('%', 'O'), ('0,08', 'O'), ('%', 'O'), ('0,18', 'O'), ('%', 'O'), ('0,18', 'O'), ('%', 'O'), ('0,03', 'O'), ('persem', 'O'), ('dan', 'O'), ('0,12', 'O'), ('%', 'O')]"
1786,"BRI Kurangi Kantor, Maksimalkan Agen BRILink untuk Inklusi Keuangan dan Sharing Economy","[('BRI', np.str_('NNP')), ('Kurangi', np.str_('NNP')), ('Kantor', np.str_('NNP')), (',', 'SYM'), ('Maksimalkan', np.str_('NNP')), ('Agen', np.str_('NNP')), ('BRILink', np.str_('NNP')), ('untuk', np.str_('IN')), ('Inklusi', np.str_('NNP')), ('Keuangan', np.str_('NNP')), ('dan', np.str_('CC')), ('Sharing', np.str_('NNP')), ('Economy', np.str_('NNP'))]","[('BRI', 'O'), ('Kurangi', 'O'), ('Kantor', 'O'), ('Maksimalkan', 'O'), ('Agen', 'O'), ('BRILink', 'O'), ('untuk', 'O'), ('Inklusi', 'O'), ('Keuangan', 'O'), ('dan', 'O'), ('Sharing', 'O'), ('Economy', 'O')]"
1787,PT Bank Rakyat Indonesia (Persero) Tbk atau BRI terus mengakselerasi inklusi keuangan dengan mengurangi jumlah kantor cabang dan menggantinya dengan jaringan Agen BRILink yang tersebar di berbagai warung dan toko kelontong.,"[('PT', np.str_('NN')), ('Bank', np.str_('NNP')), ('Rakyat', np.str_('NNP')), ('Indonesia', np.str_('NNP')), ('(', 'SYM'), ('Persero', np.str_('NNP')), (')', 'SYM'), ('Tbk', np.str_('NNP')), ('atau', np.str_('CC')), ('BRI', np.str_('NNP')), ('terus', np.str_('ADV')), ('mengakselerasi', np.str_('VB')), ('inklusi', np.str_('NN')), ('keuangan', np.str_('NN')), ('dengan', np.str_('IN')), ('mengurangi', np.str_('VB')), ('jumlah', np.str_('NN')), ('kantor', np.str_('NN')), ('cabang', np.str_('NN')), ('dan', np.str_('CC')), ('mengganti', np.str_('VB')), ('nya', np.str_('PR')), ('dengan', np.str_('IN')), ('jaringan', np.str_('NN')), ('Agen', np.str_('NNP')), ('BRILink', np.str_('NNP')), ('yang', np.str_('PR')), ('tersebar', np.str_('VB')), ('di', np.str_('IN')), ('berbagai', np.str_('DT')), ('warung', np.str_('NN')), ('dan', np.str_('CC')), ('toko', np.str_('NN')), ('kelontong', np.str_('NN')), ('.', 'SYM')]","[('PT', 'O'), ('Bank', 'O'), ('Rakyat', 'O'), ('Indonesia', 'O'), ('Persero', 'O'), ('Tbk', 'O'), ('atau', 'O'), ('BRI', 'B-PRD'), ('terus', 'O'), ('mengakselerasi', 'O'), ('inklusi', 'O'), ('keuangan', 'O'), ('dengan', 'O'), ('mengurangi', 'O'), ('jumlah', 'O'), ('kantor', 'O'), ('cabang', 'O'), ('dan', 'O'), ('mengganti', 'O'), ('nya', 'O'), ('dengan', 'O'), ('jaringan', 'O'), ('Agen', 'O'), ('BRILink', 'I-PRD'), ('yang', 'O'), ('tersebar', 'O'), ('di', 'O'), ('berbagai', 'O'), ('warung', 'O'), ('dan', 'O'), ('toko', 'O'), ('kelontong', 'O')]"
1788,"Pada September 2024, jumlah kantor BRI tercatat sebanyak 7.594 unit, atau menurun dari 9.030 kantor pada 2020.","[('Pada', np.str_('IN')), ('September', np.str_('NNP')), ('2024', np.str_('NUM')), (',', 'SYM'), ('jumlah', np.str_('NN')), ('kantor', np.str_('NN')), ('BRI', np.str_('NNP')), ('tercatat', np.str_('VB')), ('sebanyak', np.str_('NN')), ('7.594', np.str_('NUM')), ('unit', np.str_('NN')), (',', 'SYM'), ('atau', np.str_('CC')), ('menurun', np.str_('VB')), ('dari', np.str_('IN')), ('9.030', np.str_('NUM')), ('kantor', np.str_('NN')), ('pada', np.str_('IN')), ('2020', np.str_('NUM')), ('.', 'SYM')]","[('Pada', 'O'), ('September', 'B-DAT'), ('2024', 'I-DAT'), ('jumlah', 'O'), ('kantor', 'O'), ('BRI', 'O'), ('tercatat', 'O'), ('sebanyak', 'O'), ('7.594', 'O'), ('unit', 'O'), ('atau', 'O'), ('menurun', 'O'), ('dari', 'O'), ('9.030', 'O'), ('kantor', 'O'), ('pada', 'O'), ('2020', 'O')]"
